Saldobalanse 2025 - SUNLIT SEA AS,,,,,,
Nr,Kontotekst,Referansekonto,Importerte tall,Sluttposteringer,2025,2024
6725,"Honorar for juridisk bistand, fradragsberettiget","6725 Honorar for juridisk bistand, fradragsberettiget",0,0,0,77184.33
6790,Annen fremmed tjeneste,6790 Annen fremmed tjeneste,50000.0,0,50000.0,0
6791,SuRE (FoU),6790 Annen fremmed tjeneste,817942.25,-791623.25,26319.0,1017809.84
6800,Kontorrekvisita,6800 Kontorrekvisita,0,0,0,1710.72
6810,Data/EDB-kostnad,6800 Kontorrekvisita,0,0,0,4944.16
6860,"Møte, kurs, oppdatering o.l.","6860 Møter, kurs, oppdatering o.l.",95206.16,0,95206.16,12502.4
6890,Annen kontorkostnad,6890 Annen kontorkostnad,1383.2,0,1383.2,5029.2
6900,Telefon og bredbånd,6900 Telefon,35050.47,0,35050.47,42400.73
6940,Porto,6940 Porto,0,0,0,251.2
7000,"Drivstoff, selskapets transportmidler",7000 Drivstoff transportmidler,5863.74,0,5863.74,0
7070,"Drivstoff, transportmidler",7040 Forsikring og avgifter transportmidler,0,0,0,2875.97
7100,Bilgodtgjørelse oppgavepliktig,"7100 Bilgodtgjørelse, ikke AGA, opplysningspliktig",0,0,0,585.24
7140,"Reisekostnad, ikke oppgavepliktig","7140 Reisekostnader, ikke opplysningspliktig",96144.59,0,96144.59,88840.49
7160,"Diettkostnad, ikke oppgavepliktig","7160 Diettkostnad, ikke opplysningspliktig",10472.26,0,10472.26,850.73
7320,Reklamekostnad,7320 Reklamekostnad,7500.0,0,7500.0,15265.0
7400,"Kontingent, fradragsberettiget","7400 Kontingent, fradragsberettiget",0,0,0,8500.0
7740,Øredifferanser,"7790 Annen kostnad, fradragsberettiget",4.6,-14.83,-10.23,-17.56
7770,Bank og kortgebyrer,7770 Bank- og kortgebyr,11250.5,0,11250.5,7317.5
7790,"Annen kostnad, fradragsberettiget","7790 Annen kostnad, fradragsberettiget",33943.1,0,33943.1,1801.44
7791,"Annen kostnad, ikke fradragsberettiget","7799 Annen kostnad, ikke fradragsberettiget",6262.9,0,6262.9,0
7799,Prosjektkostnader Skattefunn - ikke fradrag ,"7799 Annen kostnad, ikke fradragsberettiget",0,-26319.0,-26319.0,0
7831,Endring i avsetning tap på fordringer,7839 Endring i avsetning i tap på fordringer,0,272281.29,272281.29,0
8040,"Renteinntekt, skattefri",8040 Renteinntekt tilbakebetalt skatt,-23475.0,0,-23475.0,0
8050,Annen renteinntekt,8050 Annen renteinntekt,-1653.0,0,-1653.0,-3778.0
8060,Valutagevinst (agio),8060 Valutagevinst (agio),-6073.94,0,-6073.94,-22466.0
8070,Annen finansinntekt,8070 Annen finansinntekt,-2379.0,0,-2379.0,-3295.0
8150,Annen rentekostnad,8150 Annen rentekostnad,133417.51,0,133417.51,454696.13
8151,Renter lån Innovasjon Norge,8151 Renter/provisjon kassakreditt,102714.58,0,102714.58,0
8152,Renter lån Spb1 *74075,8151 Renter/provisjon kassakreditt,316283.0,0,316283.0,0
8160,Valutatap (disagio),8160 Valutatap (disagio),3752.32,0,3752.32,9055.78
8170,Annen finanskostnad,8170 Annen finanskostnad,3600.0,0,3600.0,76528.0
8960,Overføringer annen egenkapital,8960 Overføringer annen egenkapital,0,-6264445.09,-6264445.09,0
8990,Udekket tap,8990 Udekket tap,0,0,0,-1193172.6
SUM SALDOBALANSE DEBET/KREDIT,,,0,0,0,0
